wave,course,respondent_id,question_id,question_short,response
T1,Course A,T1_A_01,Q12_balance,Q12_balance,Due to my work-life-class balance AI has helped me so much. It is able to give me fast and efficient help whenever I need. I can use it everywhere I go and study whenever I need.
T1,Course A,T1_A_01,Q13_features,Q13_features,The features that are the best is that it has the professors guidelines and the materials he uses. Sometimes it gives problems that we have not worked on yet but it expands learning.
T1,Course A,T1_A_01,Q14_equity,Q14_equity,I believe the AI tutor does accommodate well for the needs of all students but it gives you whatever you put into it. So the more you feed into it the more it gives.
T1,Course A,T1_A_01,Q15_critthink,Q15_critthink,The AI tutor was able to help me visually understand concepts and lay out everything step by step. I am able to ask it anything and it will always give me some response to help guide me in the right direction.
T1,Course A,T1_A_01,Q16_suggest,Q16_suggest,No I think it works great!
T1,Course A,T1_A_02,Q12_balance,Q12_balance,It helps me by a lot if I don't understand a question I use AI to understand the question even more.
T1,Course A,T1_A_02,Q13_features,Q13_features,The features that need improvements are instead of just giving you the answer it should work with you instead.
T1,Course A,T1_A_02,Q14_equity,Q14_equity,It does accommodate the needs of all students equally.
T1,Course A,T1_A_02,Q15_critthink,Q15_critthink,It just gives me ideas to think critically and solve problems independently.
T1,Course A,T1_A_02,Q16_suggest,Q16_suggest,I have none.
T1,Course A,T1_A_03,Q12_balance,Q12_balance,"If there are concepts that I'm having trouble understanding, AI helps me break down those concepts to help me better understand my task at hand. AI is immensely helpful in reducing the time taken to understand complicated concepts, also the additional examples I can ask AI to generate are definitely a plus."
T1,Course A,T1_A_03,Q13_features,Q13_features,"When I encounter specific problems that my professor covers in the lecture, I am able to input those problems into AI for better understanding of the concepts covered in class. Sometimes, AI explains ideas that were not covered in class, therefore, I have to specifically word the prompt such that I can apply what I learned in class. Also, AI is not always correct so you always have to double check AI output."
T1,Course A,T1_A_03,Q14_equity,Q14_equity,I think it does for the most part; AI is hugely dependent on its user so the experience may drastically differ from person to person.
T1,Course A,T1_A_03,Q15_critthink,Q15_critthink,"If there are problems that require additional steps, say for example, a calculus problem that incorporates multiple theorems in the evaluating process, AI is great in breaking down the steps to ensure how you should approach the problem. An issue I could potentially see happening is the increased reliance on AI to solve any/all problems instead of trying to tackle the problem on your own first."
T1,Course A,T1_A_03,Q16_suggest,Q16_suggest,I don't have any suggestions as I'm still trying to figure out how to utilize the system to the fullest.
T1,Course A,T1_A_04,Q12_balance,Q12_balance,I would say it has not hinder but instead it has helped me.
T1,Course A,T1_A_04,Q13_features,Q13_features,I would say when AI generates more information then is necessary it gives me the list of options/answers that I get ideas from. Another example of when AI is really helpful is when it clarifies definitions better than google would.
T1,Course A,T1_A_04,Q14_equity,Q14_equity,Yes AI is pretty equal however I feel like on certain subjects AI needs improvements.
T1,Course A,T1_A_04,Q15_critthink,Q15_critthink,I would say the only way it affects my ability to think critically is when I copy the text word for word.
T1,Course A,T1_A_04,Q16_suggest,Q16_suggest,Yes they need to not have limits and regulations on them.
T1,Course A,T1_A_05,Q12_balance,Q12_balance,social media
T1,Course A,T1_A_05,Q13_features,Q13_features,i find ai helpful with codes meaning telling me the right codes to use in r studio.
T1,Course A,T1_A_05,Q14_equity,Q14_equity,yes
T1,Course A,T1_A_05,Q15_critthink,Q15_critthink,"engage in reflective problem solving, and make independent decisions"
