course,qnum,n_cc,friedman_chi2,df,p
A,1,11,0.231,2,0.891
A,2,11,1.032,2,0.5968
A,3,11,3.0,2,0.2231
A,4,11,0.737,2,0.6918
A,5,11,2.333,2,0.3114
A,6,11,1.6,2,0.4493
A,7,11,1.455,2,0.4832
A,8,11,5.357,2,0.0687
A,9,11,4.0,2,0.1353
A,10,11,2.333,2,0.3114
A,11,11,3.125,2,0.2096
B,1,14,2.529,2,0.2823
B,2,14,2.25,2,0.3247
B,3,14,1.333,2,0.5134
B,4,14,2.214,2,0.3305
B,5,14,1.543,2,0.4624
B,6,14,0.632,2,0.7292
B,7,14,1.8,2,0.4066
B,8,14,2.8,2,0.2466
B,9,14,0.562,2,0.7548
B,10,14,3.071,2,0.2153
B,11,14,1.6,2,0.4493
