course,qnum,n_cc,page_L,p,method
A,1,11,132.0,0.5418,exact
A,2,11,136.0,0.2306,exact
A,3,11,135.0,0.2995,exact
A,4,11,134.0,0.3764,exact
A,5,11,136.5,0.2306,exact
A,6,11,135.0,0.2995,exact
A,7,11,128.0,0.8288,exact
A,8,11,139.5,0.0839,exact
A,9,11,138.0,0.1223,exact
A,10,11,135.0,0.2995,exact
A,11,11,134.5,0.3764,exact
B,1,14,172.0,0.2563,exact
B,2,14,168.0,0.5372,exact
B,3,14,168.0,0.5372,exact
B,4,14,171.5,0.3202,exact
B,5,14,168.0,0.5372,exact
B,6,14,171.0,0.3202,exact
B,7,14,168.0,0.5372,exact
B,8,14,175.0,0.1109,exact
B,9,14,169.5,0.4628,exact
B,10,14,164.0,0.8003,exact
B,11,14,171.0,0.3202,exact
