course,qnum,n_obs,beta,se,z,p,OR,OR_lo,OR_hi
A,1,39,0.103,0.366,0.281,0.7788,1.108,0.541,2.27
A,2,39,0.25,0.362,0.69,0.4905,1.284,0.631,2.61
A,3,39,0.527,0.373,1.414,0.1575,1.695,0.816,3.521
A,4,39,0.405,0.365,1.108,0.268,1.499,0.732,3.067
A,5,39,0.366,0.356,1.03,0.3032,1.442,0.718,2.895
A,6,39,0.409,0.365,1.119,0.2631,1.505,0.735,3.081
A,7,39,-0.336,0.374,-0.898,0.3691,0.715,0.343,1.488
A,8,39,0.628,0.367,1.71,0.0873,1.873,0.912,3.845
A,9,39,0.714,0.403,1.774,0.076,2.043,0.928,4.497
A,10,39,0.386,0.363,1.064,0.2874,1.471,0.723,2.993
A,11,39,0.233,0.344,0.675,0.4995,1.262,0.642,2.478
B,1,48,0.309,0.354,0.871,0.3837,1.362,0.68,2.726
B,2,48,0.317,0.373,0.85,0.3951,1.373,0.661,2.85
B,3,48,-0.099,0.336,-0.294,0.7688,0.906,0.469,1.751
B,4,48,0.311,0.331,0.94,0.3474,1.365,0.713,2.614
B,5,48,-0.151,0.318,-0.475,0.6346,0.86,0.461,1.603
B,6,48,0.089,0.328,0.273,0.7848,1.094,0.575,2.079
B,7,48,0.096,0.34,0.283,0.7774,1.101,0.566,2.142
B,8,48,0.615,0.337,1.824,0.0682,1.85,0.955,3.582
B,9,48,0.114,0.315,0.36,0.7187,1.12,0.604,2.078
B,10,48,0.036,0.31,0.116,0.9075,1.037,0.565,1.903
B,11,48,0.111,0.34,0.325,0.7449,1.117,0.573,2.176
